,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2020-09-25,43,1,93
2020-09-26,19,2,26
2020-09-27,12,2,7
2020-09-28,35,0,72
2020-09-29,59,1,95
2020-09-30,39,1,121
2020-10-01,33,3,89
2020-10-02,39,2,81
2020-10-03,9,1,33
2020-10-04,2,0,12
2020-10-05,26,9,99
2020-10-06,38,6,126
2020-10-07,30,5,105
2020-10-08,51,1,83
2020-10-09,28,4,88
2020-10-10,10,0,19
2020-10-11,3,2,14
2020-10-12,18,3,70
2020-10-13,35,2,82
2020-10-14,40,3,108
2020-10-15,40,1,121
2020-10-16,26,2,108
2020-10-17,10,1,24
2020-10-18,5,0,9
2020-10-19,13,1,71
2020-10-20,25,1,104
2020-10-21,31,4,123
2020-10-22,39,3,111
2020-10-23,26,2,71
2020-10-24,9,1,24
2020-10-25,0,3,7
2020-10-26,17,4,65
2020-10-27,31,2,86
2020-10-28,31,0,78
2020-10-29,50,2,91
2020-10-30,26,1,86
2020-10-31,6,2,21
2020-11-01,3,0,6
2020-11-02,24,1,48
2020-11-03,45,2,84
2020-11-04,37,5,66
2020-11-05,35,4,77
2020-11-06,30,3,84
2020-11-07,13,3,17
2020-11-08,5,2,9
2020-11-09,25,3,72
2020-11-10,43,6,89
2020-11-11,47,3,92
2020-11-12,46,3,83
2020-11-13,47,1,88
2020-11-14,26,4,20
2020-11-15,6,0,5
2020-11-16,23,0,75
2020-11-17,30,5,92
2020-11-18,40,5,73
2020-11-19,39,3,120
2020-11-20,27,1,87
2020-11-21,22,0,37
2020-11-22,3,0,7
2020-11-23,1,1,65
2020-11-24,1,2,94
2020-11-25,11,1,63
2020-11-26,8,1,47
2020-11-27,6,2,27
2020-11-28,1,0,4
2020-11-29,2,2,4
2020-11-30,26,2,60
2020-12-01,39,1,74
2020-12-02,62,2,93
2020-12-03,39,2,86
2020-12-04,35,4,88
2020-12-05,22,0,18
2020-12-06,10,0,14
2020-12-07,16,2,69
2020-12-08,38,4,89
2020-12-09,36,2,97
2020-12-10,59,2,95
2020-12-11,46,1,78
2020-12-12,16,1,22
2020-12-13,1,0,7
2020-12-14,25,2,50
2020-12-15,30,2,129
2020-12-16,44,2,78
2020-12-17,51,0,99
2020-12-18,35,1,47
2020-12-19,16,1,8
2020-12-20,3,1,6
2020-12-21,28,1,49
2020-12-22,31,0,56
2020-12-23,27,2,67
2020-12-24,4,1,21
2020-12-25,1,0,6
2020-12-26,0,0,2
2020-12-27,0,0,6
2020-12-28,7,0,48
2020-12-29,8,0,42
2020-12-30,13,1,54
2020-12-31,5,1,20
2021-01-01,1,1,5
2021-01-02,0,0,7
2021-01-03,1,0,7
2021-01-04,21,1,27
2021-01-05,40,2,86
2021-01-06,46,0,85
2021-01-07,28,0,79
2021-01-08,43,0,91
2021-01-09,8,0,15
2021-01-10,4,0,8
2021-01-11,28,0,82
2021-01-12,43,1,112
2021-01-13,33,0,107
2021-01-14,27,0,74
2021-01-15,23,2,73
2021-01-16,11,1,21
2021-01-17,1,0,8
2021-01-18,7,0,28
2021-01-19,30,0,62
2021-01-20,44,2,100
2021-01-21,28,0,95
2021-01-22,45,0,104
2021-01-23,13,0,24
2021-01-24,2,0,17
2021-01-25,20,0,98
2021-01-26,30,0,75
2021-01-27,35,0,109
2021-01-28,49,1,90
2021-01-29,37,1,73
2021-01-30,9,0,44
2021-01-31,3,1,4
2021-02-01,23,0,74
2021-02-02,61,1,100
2021-02-03,44,3,86
2021-02-04,68,0,95
2021-02-05,37,2,78
2021-02-06,13,0,27
2021-02-07,3,2,6
2021-02-08,25,1,72
2021-02-09,28,0,79
2021-02-10,37,0,93
2021-02-11,42,0,71
2021-02-12,17,0,82
2021-02-13,11,0,38
2021-02-14,12,0,4
2021-02-15,3,2,48
2021-02-16,10,3,54
2021-02-17,40,0,92
2021-02-18,47,2,68
2021-02-19,47,1,41
2021-02-20,12,0,38
2021-02-21,3,2,15
2021-02-22,29,1,91
2021-02-23,30,0,113
2021-02-24,26,2,99
2021-02-25,40,0,114
2021-02-26,33,1,115
2021-02-27,8,1,33
2021-02-28,6,0,11
2021-03-01,38,2,66
2021-03-02,74,0,77
2021-03-03,59,0,98
2021-03-04,31,0,98
2021-03-05,48,0,133
2021-03-06,7,1,23
2021-03-07,3,0,12
2021-03-08,28,0,60
2021-03-09,44,2,79
2021-03-10,48,1,116
2021-03-11,47,1,93
2021-03-12,73,4,105
2021-03-13,10,0,43
2021-03-14,7,1,22
2021-03-15,30,2,75
2021-03-16,27,2,135
2021-03-17,35,0,89
2021-03-18,41,1,107
2021-03-19,28,1,132
2021-03-20,7,0,41
2021-03-21,3,2,17
2021-03-22,28,1,71
2021-03-23,43,0,113
2021-03-24,31,3,89
2021-03-25,30,0,91
2021-03-26,33,3,33
2021-03-27,29,0,6
2021-03-28,6,0,8
2021-03-29,46,0,62
2021-03-30,42,1,80
2021-03-31,46,1,101
2021-04-01,64,0,75
2021-04-02,53,1,81
2021-04-03,10,2,15
2021-04-04,1,0,12
2021-04-05,33,1,61
2021-04-06,56,1,52
2021-04-07,51,2,89
2021-04-08,38,0,93
2021-04-09,38,0,72
2021-04-10,17,0,14
2021-04-11,7,1,5
2021-04-12,30,1,47
2021-04-13,72,0,74
2021-04-14,58,1,79
2021-04-15,88,2,77
2021-04-16,54,0,70
2021-04-17,12,0,18
2021-04-18,6,0,9
2021-04-19,33,1,94
2021-04-20,51,2,104
2021-04-21,73,0,96
2021-04-22,56,2,95
2021-04-23,44,0,87
2021-04-24,12,0,15
2021-04-25,12,0,7
2021-04-26,38,3,61
2021-04-27,87,1,65
2021-04-28,43,0,86
2021-04-29,60,1,52
2021-04-30,56,6,75
2021-05-01,25,1,12
2021-05-02,15,0,7
2021-05-03,38,2,59
2021-05-04,46,1,71
2021-05-05,38,0,72
2021-05-06,62,0,83
2021-05-07,52,0,81
2021-05-08,14,1,31
2021-05-09,4,0,12
2021-05-10,35,0,62
2021-05-11,59,0,85
2021-05-12,73,0,89
2021-05-13,72,1,94
2021-05-14,61,1,61
2021-05-15,10,1,37
2021-05-16,2,0,12
2021-05-17,41,0,92
2021-05-18,39,1,76
2021-05-19,32,0,80
2021-05-20,40,0,76
2021-05-21,68,1,102
2021-05-22,24,0,21
2021-05-23,11,0,8
2021-05-24,24,1,53
2021-05-25,46,1,82
2021-05-26,43,0,101
2021-05-27,39,0,94
2021-05-28,16,0,39
2021-05-29,6,0,6
2021-05-30,6,0,4
2021-05-31,7,0,23
2021-06-01,30,1,53
2021-06-02,52,1,70
2021-06-03,33,0,85
2021-06-04,55,0,70
2021-06-05,22,0,12
2021-06-06,6,0,5
2021-06-07,21,0,51
2021-06-08,47,1,89
2021-06-09,48,0,100
2021-06-10,38,0,80
2021-06-11,37,0,84
2021-06-12,9,0,17
2021-06-13,5,0,6
2021-06-14,20,1,58
2021-06-15,38,1,92
2021-06-16,33,0,71
2021-06-17,54,1,97
2021-06-18,29,0,114
2021-06-19,8,0,15
2021-06-20,4,0,10
2021-06-21,28,2,79
2021-06-22,47,2,85
2021-06-23,50,0,98
2021-06-24,50,1,104
2021-06-25,46,1,71
2021-06-26,9,0,18
2021-06-27,2,0,3
2021-06-28,39,1,49
2021-06-29,34,3,78
2021-06-30,53,4,77
2021-07-01,35,0,78
2021-07-02,11,1,62
2021-07-03,7,0,9
2021-07-04,0,0,8
2021-07-05,0,0,37
2021-07-06,13,3,48
2021-07-07,54,1,71
2021-07-08,38,1,106
2021-07-09,50,0,77
2021-07-10,18,0,21
2021-07-11,10,0,11
2021-07-12,35,0,53
2021-07-13,20,2,73
2021-07-14,21,0,97
2021-07-15,25,0,93
2021-07-16,35,1,84
2021-07-17,5,0,15
2021-07-18,9,0,2
2021-07-19,27,0,57
2021-07-20,51,0,64
2021-07-21,41,0,73
2021-07-22,37,0,81
2021-07-23,35,0,72
2021-07-24,12,0,19
2021-07-25,3,0,4
2021-07-26,36,1,57
2021-07-27,46,0,79
2021-07-28,32,1,76
2021-07-29,28,0,81
2021-07-30,43,1,81
2021-07-31,7,0,36
2021-08-01,1,0,16
2021-08-02,27,1,90
2021-08-03,49,0,79
2021-08-04,28,2,77
