,netdata/netdata,grafana/grafana,cacti/cacti
2017-08-17,3,9,2
2017-08-18,0,11,6
2017-08-19,4,3,15
2017-08-20,0,2,5
2017-08-21,6,10,1
2017-08-22,4,1,3
2017-08-23,1,7,0
2017-08-24,0,14,0
2017-08-25,5,4,0
2017-08-26,1,5,7
2017-08-27,5,0,6
2017-08-28,4,13,21
2017-08-29,2,8,4
2017-08-30,3,2,2
2017-08-31,3,5,0
2017-09-01,0,6,5
2017-09-02,7,1,4
2017-09-03,4,0,9
2017-09-04,6,14,6
2017-09-05,11,8,6
2017-09-06,6,4,3
2017-09-07,8,18,1
2017-09-08,0,10,3
2017-09-09,15,0,11
2017-09-10,10,0,5
2017-09-11,1,5,9
2017-09-12,0,18,2
2017-09-13,3,17,1
2017-09-14,2,27,0
2017-09-15,5,23,3
2017-09-16,5,0,5
2017-09-17,18,0,4
2017-09-18,1,40,10
2017-09-19,3,8,5
2017-09-20,1,4,0
2017-09-21,3,30,5
2017-09-22,1,16,1
2017-09-23,11,0,6
2017-09-24,2,9,0
2017-09-25,5,1,0
2017-09-26,13,7,0
2017-09-27,1,11,2
2017-09-28,0,15,0
2017-09-29,3,54,1
2017-09-30,6,0,3
2017-10-01,7,4,0
2017-10-02,3,20,1
2017-10-03,12,11,0
2017-10-04,5,14,0
2017-10-05,8,42,1
2017-10-06,4,6,0
2017-10-07,3,3,7
2017-10-08,6,2,0
2017-10-09,8,11,0
2017-10-10,3,17,1
2017-10-11,3,31,10
2017-10-12,4,41,5
2017-10-13,3,16,0
2017-10-14,13,3,2
2017-10-15,27,2,4
2017-10-16,3,18,5
2017-10-17,5,24,0
2017-10-18,4,18,3
2017-10-19,11,6,0
2017-10-20,72,7,0
2017-10-21,7,0,0
2017-10-22,4,14,2
2017-10-23,7,19,3
2017-10-24,7,32,0
2017-10-25,3,12,0
2017-10-26,20,22,0
2017-10-27,4,6,5
2017-10-28,8,5,2
2017-10-29,2,5,5
2017-10-30,2,8,0
2017-10-31,7,30,0
2017-11-01,2,21,0
2017-11-02,18,8,0
2017-11-03,19,8,0
2017-11-04,11,1,9
2017-11-05,16,0,4
2017-11-06,4,3,0
2017-11-07,25,1,0
2017-11-08,4,4,1
2017-11-09,2,4,0
2017-11-10,3,1,0
2017-11-11,3,2,5
2017-11-12,10,0,4
2017-11-13,13,14,10
2017-11-14,20,10,1
2017-11-15,7,41,0
2017-11-16,8,22,4
2017-11-17,4,23,3
2017-11-18,15,0,15
2017-11-19,14,0,8
2017-11-20,2,18,1
2017-11-21,0,24,1
2017-11-22,8,14,6
2017-11-23,5,20,4
2017-11-24,3,8,0
2017-11-25,10,0,2
2017-11-26,1,1,1
2017-11-27,8,18,0
2017-11-28,5,11,0
2017-11-29,6,15,0
2017-11-30,9,15,0
2017-12-01,5,25,2
2017-12-02,2,7,9
2017-12-03,2,5,10
2017-12-04,0,13,0
2017-12-05,4,22,0
2017-12-06,0,20,0
2017-12-07,0,52,0
2017-12-08,9,39,0
2017-12-09,9,8,0
2017-12-10,1,9,0
2017-12-11,3,35,0
2017-12-12,15,39,0
2017-12-13,1,69,0
2017-12-14,4,36,0
2017-12-15,0,32,0
2017-12-16,5,1,0
2017-12-17,10,0,0
2017-12-18,9,11,0
2017-12-19,1,38,0
2017-12-20,9,18,0
2017-12-21,2,7,2
2017-12-22,0,9,9
2017-12-23,5,2,20
2017-12-24,6,0,10
2017-12-25,6,2,2
2017-12-26,19,7,1
2017-12-27,8,10,4
2017-12-28,6,16,2
2017-12-29,0,3,6
2017-12-30,0,0,3
2017-12-31,0,6,8
2018-01-01,0,3,0
2018-01-02,5,3,0
2018-01-03,27,9,7
2018-01-04,12,6,0
2018-01-05,7,5,1
2018-01-06,8,0,12
2018-01-07,9,0,4
2018-01-08,6,6,0
2018-01-09,3,41,0
2018-01-10,13,18,0
2018-01-11,12,10,2
2018-01-12,5,4,8
2018-01-13,12,0,13
2018-01-14,17,2,25
2018-01-15,9,11,48
2018-01-16,0,31,17
2018-01-17,0,7,5
2018-01-18,9,20,1
2018-01-19,10,10,16
2018-01-20,23,3,18
2018-01-21,2,2,8
2018-01-22,6,13,3
2018-01-23,4,13,4
2018-01-24,3,18,3
2018-01-25,35,35,2
2018-01-26,4,19,0
2018-01-27,35,3,13
2018-01-28,4,1,16
