,vercel/next.js,gatsbyjs/gatsby,phenomic/phenomic
2017-01-05,12,3.0,0
2017-01-06,6,1.4000000000000001,0
2017-01-07,4,-0.6400000000000001,0
2017-01-08,5,-0.30400000000000027,0
2017-01-09,4,5.8032,0
2017-01-10,5,-1.3438079999999997,4
2017-01-11,2,6.4076416,0
2017-01-12,10,8.22036224,3
2017-01-13,3,4.161383424,0
2017-01-14,1,-2.755399475200001,0
2017-01-15,5,-1.4227115008000009,0
2017-01-16,15,-0.9523123200000005,3
2017-01-17,4,0.28011212800000007,0
2017-01-18,2,2.2236568576,0
2017-01-19,3,4.907017216,0
2017-01-20,12,2.162350387200001,0
2017-01-21,4,-1.6830074879999994,0
2017-01-22,5,0.17837854719999968,0
2017-01-23,2,-0.6906368000000002,0
2017-01-24,2,14.55417088,0
2017-01-25,2,1.6621153280000005,0
2017-01-26,7,-2.472508006400001,5
2017-01-27,3,0.6630227967999995,4
2017-01-28,3,1.7032042496000002,6
2017-01-29,3,-1.3778441216000001,0
2017-01-30,1,-0.7844997120000005,0
2017-01-31,3,-0.5797141504000003,0
2017-02-01,2,0.5476787200000008,0
2017-02-02,11,1.4235555840000007,0
2017-02-03,5,2.362513408,0
2017-02-04,1,7.112444416,0
2017-02-05,4,-2.0377018367999997,1
2017-02-06,2,15.085855948799999,0
2017-02-07,1,11.2436992,0
2017-02-08,6,1.3168076800000001,0
2017-02-09,14,9.518184448,0
2017-02-10,2,-3.5930553344000007,0
2017-02-11,2,-2.644091596800002,0
2017-02-12,8,-1.7680105472000003,0
2017-02-13,3,-1.3150303232000002,0
2017-02-14,8,1.0277550080000006,0
2017-02-15,16,-1.2079960063999986,0
2017-02-16,14,-0.6738426879999994,0
2017-02-17,8,1.625216921600001,0
2017-02-18,5,-0.6436892671999994,0
2017-02-19,2,-0.22354135040000012,0
2017-02-20,2,-0.13685760000000008,1
2017-02-21,4,-0.10105344000000005,1
2017-02-22,1,8.920152576,0
2017-02-23,2,-1.8657963007999996,7
2017-02-24,1,-0.7538534400000007,0
2017-02-25,3,-0.4607754240000002,0
2017-02-26,7,-0.32733870080000005,0
2017-02-27,8,5.770176,0
2017-02-28,8,-1.3838591999999998,2
2017-03-01,3,0.36765951999999946,0
2017-03-02,4,1.3825105920000005,0
2017-03-03,1,0.2061758464000003,0
2017-03-04,1,1.4387839999999998,0
2017-03-05,3,-0.7321728000000001,0
2017-03-06,6,-0.40229632000000026,0
2017-03-07,4,0.7125729280000002,0
2017-03-08,2,-0.4253364223999998,0
2017-03-09,0,2.800258048,0
2017-03-10,2,1.2529709056000002,0
2017-03-11,0,1.2532201472,0
2017-03-12,3,0.22921922559999997,0
2017-03-13,5,-0.6021675008000001,0
2017-03-14,5,3.6632652799999996,0
2017-03-15,10,2.9580538880000002,0
2017-03-16,1,1.6912208895999998,0
2017-03-17,0,0.7445898239999997,0
2017-03-18,2,0.9131342847999999,0
2017-03-19,1,-1.0111848448,0
2017-03-20,0,3.4200143871999997,0
2017-03-21,1,15.7983005696,0
2017-03-22,1,-4.024816127999999,0
2017-03-23,1,1.197861990399999,0
2017-03-24,3,1.2818484223999997,0
2017-03-25,2,-0.6133809152,0
2017-03-26,4,-1.1535413248000004,0
2017-03-27,4,6.235264819199999,0
2017-03-28,5,2.0292869120000003,0
2017-03-29,5,2.174037094400001,0
2017-03-30,5,-0.8055815167999998,2
2017-03-31,2,-1.0615720960000004,19
2017-04-01,3,-0.6826499072000001,5
2017-04-02,1,-0.4793413632000001,1
2017-04-03,5,4.6515844096,0
2017-04-04,3,-0.27567206399999944,1
2017-04-05,6,-0.8329719807999999,0
2017-04-06,12,0.5556450304000001,1
2017-04-07,7,0.5197348864000002,0
2017-04-08,0,-0.4537493504000001,0
2017-04-09,0,-0.2556800000000002,0
2017-04-10,2,6.8133376,1
2017-04-11,7,5.451998720000001,0
2017-04-12,2,0.9173007360000001,0
2017-04-13,3,-0.5458248704000006,0
2017-04-14,1,3.9574855679999996,0
2017-04-15,0,-0.6648090624,0
2017-04-16,0,-1.0830229504000006,0
2017-04-17,3,6.30830336,0
2017-04-18,7,0.07797657600000063,3
2017-04-19,2,7.6195116032,3
2017-04-20,0,-0.5710553087999997,0
2017-04-21,0,1.3919418367999994,0
2017-04-22,12,2.4607133695999996,0
2017-04-23,2,-0.709208064,0
2017-04-24,1,8.8671620096,0
2017-04-25,1,-0.7422986239999996,0
2017-04-26,2,1.2317330431999995,0
2017-04-27,9,14.3746880512,0
2017-04-28,1,1.8289690624000006,0
2017-04-29,0,8.8972024832,0
2017-04-30,5,1.8839543807999997,0
2017-05-01,1,4.6634020864,0
2017-05-02,2,12.4823376896,2
2017-05-03,5,4.784474112,0
2017-05-04,6,3.3664658431999985,0
2017-05-05,0,-0.20433336319999995,0
2017-05-06,5,5.7265826816,0
2017-05-07,4,-3.7610353664,0
2017-05-08,4,1.8656069631999994,0
2017-05-09,11,1.7642786816,0
2017-05-10,5,-0.1871997951999993,0
2017-05-11,8,8.297660313600002,82
2017-05-12,1,2.0222387200000007,11
2017-05-13,2,-2.4421901312000003,0
2017-05-14,3,-1.3104260096000002,0
2017-05-15,19,5.111281766399999,8
2017-05-16,11,15.210524672,13
2017-05-17,3,6.6467503104,0
2017-05-18,4,-2.198064025600001,0
2017-05-19,2,4.4489505792,3
2017-05-20,2,1.990951936,0
2017-05-21,3,-2.6446315520000008,0
2017-05-22,3,6.467054079999999,1
2017-05-23,1,7.274930688,2
2017-05-24,0,-3.5332107263999992,0
2017-05-25,5,1.1412211712,24
2017-05-26,0,6.2646306816,17
2017-05-27,8,-0.5905742847999997,4
2017-05-28,0,-0.7620144128000002,0
2017-05-29,1,0.7531514879999996,0
2017-05-30,2,6.794223104,1
2017-05-31,6,3.615593676800001,0
2017-06-01,5,1.640423936,25
2017-06-02,5,16.023829504,19
2017-06-03,1,7.265336012800001,13
2017-06-04,0,-4.624202547200001,2
2017-06-05,8,3.6517737471999983,5
2017-06-06,10,3.2178246655999994,1
2017-06-07,5,5.1338360832,1
2017-06-08,5,0.7040616448000003,17
2017-06-09,6,-2.6117935104000005,7
2017-06-10,0,2.4292071424,8
